en;;;ru
The advancement count of all players currently online has been updated.;;;Обновлен счетчик достижений всех онлайн игроков.
You have unlocked the root of the Super Challenges tab;;;Вы разблокировали вкладку «Сверхвызовы»
WARNING: These are very difficult;;;ВНИМАНИЕ: Это очень сложно
You have unlocked the root of the Farming tab;;;Вы разблокировали вкладку «Сельское хозяйство»
You have unlocked the root of the Weaponry tab;;;Вы разблокировали вкладку «Во всеоружии»
You have unlocked the root of the Redstone tab;;;Вы разблокировали вкладку «Редстоун»
%1$s has completed the super challenge %2$s%3$s%4$s;;;%1$s завершил супериспытание %2$s%3$s%4$s
Abyss Lord;;;Лорд Бездны
Obtain a stack of Conduits;;;Заполучите стак морских источников
%1$s tab;;;вкладка «%1$s»
Super Challenges;;;Сверхвызовы
The World Is Ending;;;Конец света
Summon ten withers at once;;;Вызовите десять Визеров за раз
Endergeddon;;;Эндерогеддон
Send every mob to the End... and kill them all there;;;Отправьте каждого моба в измерение Энд, а затем убейте его
I am Loot!;;;Я есть Лут!
Open up every type of loot chest;;;Откройте все типы сундуков с добычей
Stockbroker;;;Биржевик
Trade with every profession from every biome type;;;Поторгуйтесь с крестьянином каждой профессии каждого биома
The Perfect Run;;;Идеальный спидран
Summon the Ender Dragon, the Wither, and a Raid within thirty seconds of each other, then defeat all of them without taking damage;;;Вызовите Эндер-Дракона, Иссушителя и Рейд в течение тридцати секунд друг от друга, а затем победите их всех, не получив урона
Dragon vs Wither: Pre-Sequel;;;Дракон на Визера: Сиквел
Defeat the Wither while wearing a Dragon head... without touching the ground;;;Победите Визера, надев при этом голову Эндер-дракона… и не касаясь земли
Highway to Hell;;;Шоссе в преисподнюю
Send every mob to the Nether... and kill them all there;;;Отправьте каждого моба в измерение Незер, а затем убейте его
Ad Astra;;;К звёздам
Reach an altitude of 10,000 blocks above the world;;;Достигните высоты в 10,000 блоков над миром
All the Items!;;;Совершенно все предметы!
Obtain all the items!;;;Заполучите все возможные предметы!
Dragon Army;;;Драконья армия
Obtain a stack of Ender Dragon Heads;;;Заполучите стак голов дракона
Riddle Me This;;;Загадка:
The first is to smith a compass that vanishes;;;Первое - выковать исчезающий компас
The second is to slay a corpse that fishes;;;Второе - убить труп, ловящий рыбу
The third is to travel on an upside-down mount;;;Третье - путешествовать на перевернутом коне
The fourth is to take a temple tripwire into account;;;Четвёртое - принять во внимание растяжку в храме
The fifth is to be invisible yet be visible everywhere;;;Пятое - быть невидимым, но быть видимым повсюду
The sixth is to return the product of a fowl in mid-air;;;Шестое - вернуть в воздухе курице её же продукт
The seventh is to allow a child to commit the act of stealing;;;Седьмое - позволить ребенку совершить воровство
The eighth is to smite a Wither with splash healing;;;Восьмой - поразить Иссушителя исцелением
The ninth is to be a pirate; parrot, spyglass, map, and boat;;;Девятое - быть пиратом; попугай, подзорная труба, карта и лодка
The tenth, if you can achieve it, you will be the G.O.A.T.;;;Десятое, если вы сможете его достичь, вы станете мудрейшим игроком
Stack All the Items!;;;Простаковать все предметы!
Obtain a stack of all the items!;;;Заполучите по стаку каждого из предметов!
Telescopic;;;Телескоп
Look at every mob using a Spyglass, each from at least 25 blocks away;;;Посмотрите на каждого моба с помощью подзорной трубы, каждый из которых должен находится по крайней мере в 25 блоках от Вас
Stack All the Blocks!;;;Простаковать все блоки!
Obtain a stack of all the blocks!;;;Заполучите по стаку каждого из блоков!
Rise of the Skeletons;;;Восстание скелетов
Obtain a stack of Skeleton Skulls;;;Заполучите стак черепов
The Devil's Distance;;;Расстояние дьявола
Use the Nether to travel 666km in the Overworld;;;Используйте Незер, чтобы переместиться на 666км в обычном мире
Creepergeddon;;;Криперогеддон
Obtain a stack of Creeper Heads;;;Заполучите стак голов крипера
Constellation;;;Созвездие
Collect 64 nether stars;;;Соберите стак звёзд Незера
We're in the endgame now;;;Финальное сражение
Construct a village in the End and defend it from a raid;;;Возведите деревню в измерении Энд, а затем защитите её от рейда
Hearts of the Stack;;;Сердечный стак
Collect 64 Hearts of the Sea;;;	Соберите стак сердец моря
Warlock;;;Чернокнижник
Obtain a stack of Beacons;;;Заполучите стак маяков
Biological Warfare;;;Биологическая война
Kill every mob in the game with lingering potions;;;Убейте каждого моба в игре при помощи туманного зелья
Immortal;;;Бессмертный
Fill your entire inventory with Totems of Undying;;;Заполните весь Ваш инвентарь тотемами бессмертия
Death From All;;;Смерть от всех
Get killed by every mob that can kill you. (Ignore in hardcore mode);;;Будьте убиты каждым мобом в игре, который может навредить Вам (игнорируйте в «Хардкор» режиме)
%1$s has found the hidden advancement %2$s%3$s%4$s;;;%1$s нашёл скрытое достижение %2$s%3$s%4$s
Farlander;;;Фарлендер
Travel all the way to the border of the world;;;Пропутешествуйте до самой границы мира
Zombie Apocalypse;;;Зомби-апокалипсис
Obtain a stack of Zombie Heads;;;Заполучите стак голов зомби
I'm in Space!;;;Земля в иллюминаторе
Levitate up a distance of 256 blocks;;;Пролевитируйте на дистанцию в 256 блоков
Potion Master;;;Зельемастер
Kill every mob in the game with splash potions;;;Убейте каждого моба в игре при помощи взрывных зелий
Dragon vs Dragon II;;;Дракон на Дракона II
Defeat the Ender Dragon while wearing a dragon head... without touching the ground;;;Победите Эндер-дракона, надев при этом голову дракона… и не касаясь земли
Nuclear Fusion;;;Термоядерная реакция
Strike every mob that can transform with lightning at once;;;Запустите молнией в каждого моба, что может трансформироваться
Ultimate Enchanter;;;Магический прорыв
Obtain every enchantment at every level throughout your enchanting career;;;Заполучите каждое зачарование всех возможных уровней
All the Blocks!;;;Абсолютно все блоки!
Obtain all the blocks!;;;Заполучите все возможные блоки!
How Did We Get Here?;;;Невозможное возможно!
Have every effect applied at the same time;;;Испытайте все возможные эффекты одновременно
Explorer of Worlds;;;Исследователь миров
Discover every biome in every dimension;;;Исследуйте каждый биом в каждом измерении
Global Vaccination;;;Глобальная вакцинация
Cure a zombie villager of every profession... from every biome;;;Излечите зомби-крестьянина каждой профессии… с каждого биома
